,index,slug,holderCount,dailyActive,topTenHolderRatio,topTwentyHolderRatio,topFiftyHolderRatio,topHundredHolderRatio
157,0,origin-dollar,3532.0,,78.89,86.3,93.94,97.92
158,0,rari-governance-token,7281.0,249.0,77.88,83.75,88.54,91.63
159,0,lukso,11503.0,266.0,89.51,90.48,91.98,93.32
160,0,beta-finance,948.0,,99.07,99.78,99.89,99.89
161,0,tether-gold,397.0,13.0,99.46,99.77,99.95,99.95
162,0,reserve-rights,813.0,836.0,8.73,9.02,9.24,9.24
163,0,aragon,12395.0,151.0,75.13,83.51,90.69,93.85
164,0,pundix-new,16475.0,,83.47,87.57,92.11,94.38
165,0,mvl,11520.0,,72.56,82.9,96.87,99.37
166,0,xsgd,2005.0,,91.01,93.32,96.23,98.21
167,0,orbs,6957.0,113.0,95.99,97.2,98.15,98.65
168,0,origintrail,15768.0,184.0,39.01,44.81,56.13,66.01
169,0,hedgetrade,2359.0,2.0,80.72,90.07,97.44,99.53
170,0,reef,25534.0,512.0,70.07,77.5,84.06,86.92
171,0,status,84713.0,308.0,79.09,83.68,87.18,89.47
172,0,dvision-network,1744.0,,52.24,71.1,85.89,94.7
173,0,avinoc,163873.0,4.0,70.43,75.05,80.71,83.27
174,0,bifrost,2900.0,,95.54,98.84,99.84,99.84
175,0,band-protocol,30740.0,262.0,86.1,91.08,97.45,98.52
176,0,star-link,31202.0,,48.65,57.11,68.98,76.91
177,0,aelf,50462.0,116.0,85.56,97.46,99.11,99.34
178,0,energy-web-token,8299.0,,21.47,29.44,40.48,50.28
179,0,orbit-chain,7583.0,,95.93,96.64,97.51,98.42
180,0,civic,62766.0,340.0,74.22,83.13,89.95,92.41
181,0,mx-token,2848.0,41.0,99.18,99.31,99.61,99.73
182,0,numeraire,34479.0,245.0,68.17,74.59,84.6,88.75
183,0,humanscape,13853.0,,99.14,99.59,99.62,99.62
184,0,victoria-vr,6619.0,,97.03,99.67,99.87,99.87
185,0,orchid,39524.0,277.0,47.73,64.28,78.91,94.26
186,0,ssv-network,634.0,,74.09,84.6,92.77,96.21
187,0,hyperion,23012.0,,99.98,99.98,99.98,99.98
188,0,bitmax-token,708.0,,99.58,99.79,99.92,99.92
189,0,seedify-fund,4.0,,,,,
190,0,augur,18878.0,254.0,78.09,82.21,87.31,89.18
191,0,insure,1833.0,,97.37,98.63,99.76,99.76
192,0,alchemix,8791.0,603.0,89.15,92.26,96.61,98.45
193,0,propy,11046.0,30.0,80.61,86.47,90.63,92.96
194,0,stratis,45.0,,98.88,99.8,,
195,0,biconomy,7050.0,,96.53,97.93,98.9,99.45
196,0,dusk-network,16468.0,36.0,85.64,90.43,95.09,97.02
197,0,strike,9775.0,,99.11,99.85,99.96,99.96
198,0,prometeus,2314.0,25.0,74.8,83.36,90.78,97.34
199,0,orion-protocol,9000.0,225.0,84.11,91.45,96.64,98.31
